               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11198,            0.027882,                   0,           0.0010667,                0.32,            0.001354,          0.00027644,            0.098108,            0.017447,                   0,              0.0784,              0.0024,              0.0024
                   1,            0.090367,            0.023944,                   0,           0.0035869,                0.76,            0.027945,           0.0058346,            0.078847,             0.01301,                   0,            0.055851,           0.0048515,           0.0048515
                   2,            0.080639,            0.020949,                   0,           0.0026667,                 0.8,            0.012139,           0.0021612,            0.087538,           0.0097798,                   0,            0.033253,           0.0072535,           0.0072535
                   3,            0.081583,            0.016915,                   0,           0.0030667,                0.92,            0.093366,            0.027807,            0.074943,            0.009517,                   0,            0.010606,            0.009606,            0.009606
                   4,            0.073966,            0.018351,                   0,              0.0032,                0.96,             0.19843,            0.064128,            0.064951,           0.0099874,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.065132,            0.019496,                   0,            0.072195,                0.84,             0.16423,            0.037217,            0.063557,           0.0087764,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.060717,            0.018815,                   0,             0.33898,                0.92,             0.71784,             0.31664,            0.056384,           0.0085174,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.059853,            0.017988,                   0,             0.57326,                0.68,             0.68828,             0.24969,            0.046678,           0.0089734,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.049554,            0.016947,                   0,             0.75199,                 0.8,              0.7729,             0.28231,            0.046968,           0.0082202,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.049705,            0.016067,                   0,                   1,             0.79379,             0.93904,             0.45082,             0.03808,           0.0083582,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.04974,            0.016583,                   0,             0.87427,                0.76,             0.90359,             0.33951,            0.044434,           0.0074589,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.049068,            0.015185,                   0,             0.83181,             0.79161,             0.91542,             0.41961,            0.038581,           0.0077915,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.044126,            0.014685,                   0,             0.83138,             0.78922,             0.90507,             0.36566,            0.039219,           0.0073147,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.044029,            0.014207,                   0,             0.89714,                0.72,             0.86291,              0.3984,            0.039265,           0.0070294,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.043388,             0.01351,                   0,              0.8593,                0.76,             0.77392,             0.29945,            0.037009,           0.0065792,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.040685,            0.013497,                   0,               0.954,             0.82986,             0.92366,             0.46775,            0.033405,           0.0062902,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.037626,            0.012461,                   0,             0.92681,                 0.8,             0.86928,             0.50235,            0.035996,           0.0057155,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.039716,            0.011737,                   0,             0.87679,                0.92,             0.93813,             0.53517,            0.032069,           0.0055892,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.038687,            0.011648,                   0,             0.95706,              0.8919,             0.95009,             0.48242,            0.031316,           0.0051795,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.037389,            0.011201,                   0,             0.98253,                0.92,             0.94915,             0.60791,            0.032909,           0.0051159,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.035404,            0.010315,                   0,                   1,             0.95081,             0.95902,              0.4221,            0.032142,           0.0050496,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.037647,            0.010133,                   0,             0.95799,             0.91234,              0.9446,             0.55011,             0.03158,           0.0050948,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.036282,           0.0096346,                   0,             0.98795,                0.92,              0.9616,             0.39686,            0.033373,           0.0050608,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.035552,           0.0096695,                   0,             0.95444,             0.83802,              0.9309,              0.5133,            0.030212,           0.0047743,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.032533,           0.0096142,                   0,             0.97643,                0.92,             0.96065,             0.49931,            0.029781,           0.0047691,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.034116,           0.0099636,                   0,             0.98219,                0.92,             0.95886,             0.59223,            0.028485,             0.00471,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.034136,           0.0094812,                   0,             0.94846,                0.92,             0.95679,             0.59415,            0.030059,           0.0046036,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.034759,           0.0092694,                   0,                   1,             0.91258,             0.96192,             0.46618,            0.031243,           0.0045229,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.033333,           0.0088516,                   0,             0.94994,                0.92,             0.94929,             0.54881,            0.033418,           0.0043656,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.032202,           0.0080836,                   0,             0.95049,                0.96,              0.9633,             0.55295,            0.027801,           0.0044327,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.033101,           0.0078872,                   0,              0.9858,                0.96,             0.95959,             0.54695,            0.031236,           0.0044063,                   0,            0.007129,            0.007129,            0.007129
                  31,             0.02992,           0.0082928,                   0,             0.94673,                0.92,               0.944,             0.53242,            0.035008,           0.0041708,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.030347,           0.0080838,                   0,             0.98883,                0.96,             0.96088,              0.5891,            0.029594,           0.0041513,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.030698,           0.0083347,                   0,             0.95854,                0.96,             0.96129,             0.60829,            0.028255,           0.0040421,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.029255,           0.0080086,                   0,             0.97259,                0.96,             0.95875,             0.55799,             0.02796,           0.0040927,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.02949,           0.0078693,                   0,             0.98995,                0.96,                0.96,             0.50643,            0.029588,           0.0040767,                   0,            0.006634,            0.006634,            0.006634
